CustomerID,Recommendations
C0001,"[('C0153', np.float64(0.9999999999842402)), ('C0177', np.float64(0.999999999962452)), ('C0093', np.float64(0.999999999939119))]"
C0002,"[('C0157', np.float64(0.9999999992692958)), ('C0043', np.float64(0.9999999978943409)), ('C0034', np.float64(0.999999986674269))]"
C0003,"[('C0176', np.float64(0.9999999999459208)), ('C0030', np.float64(0.9999999992696813)), ('C0119', np.float64(0.999999994829446))]"
C0004,"[('C0132', np.float64(0.9999999996559141)), ('C0036', np.float64(0.9999999993802926)), ('C0072', np.float64(0.99999999924816))]"
C0005,"[('C0173', np.float64(0.9999999999970868)), ('C0150', np.float64(0.9999999999866509)), ('C0015', np.float64(0.9999999998920358))]"
C0006,"[('C0103', np.float64(0.9999999999917102)), ('C0126', np.float64(0.999999999960493)), ('C0079', np.float64(0.9999999998717352))]"
C0007,"[('C0146', np.float64(0.9999999999408112)), ('C0114', np.float64(0.9999999999159734)), ('C0048', np.float64(0.9999999998855325))]"
C0008,"[('C0027', np.float64(0.9999999999999989)), ('C0088', np.float64(0.999999999999566)), ('C0190', np.float64(0.9999999999377862))]"
C0009,"[('C0122', np.float64(0.9999999999873764)), ('C0087', np.float64(0.9999999998852629)), ('C0200', np.float64(0.9999999998722178))]"
C0010,"[('C0097', np.float64(0.9999999596999438)), ('C0049', np.float64(0.9999999369250641)), ('C0032', np.float64(0.9999999020077677))]"
C0011,"[('C0167', np.float64(0.9999999999709008)), ('C0143', np.float64(0.9999999999384338)), ('C0069', np.float64(0.9999999999344231))]"
C0012,"[('C0063', np.float64(0.9999999999919491)), ('C0120', np.float64(0.9999999999317553)), ('C0194', np.float64(0.9999999999066352))]"
C0013,"[('C0054', np.float64(0.999999999890627)), ('C0117', np.float64(0.9999999997842299)), ('C0080', np.float64(0.999999999755542))]"
C0014,"[('C0083', np.float64(0.999999998568635)), ('C0091', np.float64(0.9999999952086676)), ('C0144', np.float64(0.9999999895592113))]"
C0015,"[('C0150', np.float64(0.9999999999546134)), ('C0145', np.float64(0.999999999953358)), ('C0173', np.float64(0.999999999924593))]"
C0016,"[('C0050', np.float64(0.999999999666534)), ('C0115', np.float64(0.9999999995204173)), ('C0074', np.float64(0.9999999992992119))]"
C0017,"[('C0106', np.float64(0.9999999999858402)), ('C0169', np.float64(0.999999999983628)), ('C0098', np.float64(0.9999999998774268))]"
C0018,"[('C0056', np.float64(0.9999999999827965)), ('C0041', np.float64(0.9999999997056781)), ('C0133', np.float64(0.9999999987760421))]"
C0019,"[('C0025', np.float64(0.9999999999999245)), ('C0119', np.float64(0.999999999996169)), ('C0071', np.float64(0.9999999993734915))]"
C0020,"[('C0184', np.float64(0.9999999999443178)), ('C0164', np.float64(0.9999999999063933)), ('C0022', np.float64(0.9999999995483064))]"
